Algo,Avg,Std,Sensitivity,Rank Average,Rank Sens
Audio Gaus,0.5356,0.2447,0.382,25,25
Audio Multi,0.5409,0.2318,0.384,24,24
Audio SVM,0.3508,0.2803,0.244,35,35
,,,,,
Lyrics Gaus,0.4904,0.2788,0.354,26,27
Lyrics Multi,0.5671,0.1630,0.398,19,19
Lyrics SVM,0.623,0.0864,0.452,9,9
,,,,,
Full Gaus-Gaus-Gaus,0.5438,0.2476,0.391,23,23
Full Gaus-Gaus-Multi,0.5807,0.1342,0.409,15,15
Full Gaus-Gaus-SVM,0.5733,0.1303,0.403,17,17
Full Gaus-Multi-Gaus,0.6047,0.1115,0.434,10,11
Full Gaus-Multi-Multi,0.5733,0.1334,0.402,18,18
Full Gaus-Multi-SVM,0.5872,0.0984,0.415,14,14
Full Gaus-SVM-Gaus,0.6339,0.0682,0.464,7,7
Full Gaus-SVM-Multi,0.5888,0.1293,0.417,13,13
Full Gaus-SVM-SVM,0.6388,0.0698,0.469,4,4
,,,,,
Partial Audio Gaus-Gaus,0.4811,0.2964,0.350,30,30
Partial Audio Gaus-Multi,0.6377,0.1436,0.468,5,5
Partial Audio Gaus-SVM,\textbf{0.6846},0.0809,\textbf{0.520},1,1
Partial Audio Multi-Gaus,0.4812,0.296,0.353,29,28
Partial Audio Multi-Multi,0.5992,0.1763,0.434,12,10
Partial Audio Multi-SVM,0.6677,0.1198,0.504,2,2
Partial Audio SVM-Gaus,0.4888,0.2850,0.354,28,26
Partial Audio SVM-Multi,0.6024,0.1656,0.431,11,12
Partial Audio SVM-SVM,0.6517,0.0966,0.482,3,3
,,,,,
Partial Lyric Gaus-Gaus,0.4902,0.2839,0.352,27,29
Partial Lyric Gaus-Multi,0.4802,0.2801,0.349,31,32
Partial Lyric Gaus-SVM,0.3828,0.3109,0.273,33,33
Partial Lyric Multi-Gaus,0.5796,0.1492,0.408,16,16
Partial Lyric Multi-Multi,0.5662,0.147,0.395,20,21
Partial Lyric Multi-SVM,0.5646,0.1725,0.397,22,20
Partial Lyric SVM-Gaus,0.6286,0.0783,0.458,8,8
Partial Lyric SVM-Multi,0.636,0.0789,0.466,6,6
Partial Lyric SVM-SVM,0.3598,0.2920,0.258,34,34
,,,,,
Series Gaus,0.478,0.2964,0.350,32,31
Series Multi,0.5651,0.153,0.395,21,22
